Time_Step(minutes),Sample_one,Sample_two,Sample_three,Sample_four
1,61.3,62.1,61.5,60.9
2,,,,
3,59.1,61.1,60.1,
4,,58.6,58.0,58.3
5,,,,
6,58.1,57.5,56.9,57.1
7,,,,
8,,,,
9,,,,
10,,,,
11,54.8,55.1,54.3,54.5
12,,,,
13,53.7,54.3,52.9,53.3
14,53.0,53.4,53.3,53.0
15,52.8,54.0,53.4,53.5
16,,,,
17,,,,
18,,,,
19,52.1,52.6,52.4,52.4
20,51.9,52.2,52.2,52.3
21,,,,
22,,,,
23,51.5,52.4,51.6,51.7
24,,,,
25,,,,
26,50.2,50.7,50.8,51.0
27,,,,
28,,,,
29,49.0,50.2,49.8,50.0
30,,,,
